RunNumber  FCup_pos  FCup_neg  FCup_zero  FCup_run
16698	6119.7	6111.24	58.7498	12564.1
16699	2874.2	2847.48	21.8308	5721.97
16700	18485.9	18473.8	229.01	38368.2
16701	2525.73	2502.61	32.7753	5328.45
16702	9753.59	9702.63	128.88	20126.7
16704	18235.5	18237.8	186.012	38121.7
16709	5824.03	5776.23	45.2799	11778.4
16710	7329.66	7388.37	50.5274	15264
16711	23429.4	23401.7	218.326	48455.7
16712	24062	23992.4	217.828	49506.5
16713	25055	24938.1	240.658	51757.5
16715	12565.2	12487.3	129.425	26019.4
16716	10824.4	10772.7	73.4131	22355.9
16717	19157.2	19116.4	178.818	39674.8
16718	5283.88	5264.8	49.8177	11023.5
16719	20550.8	20442.7	197.012	42308.4
16720	12071.7	12008.5	111.311	24961.7
16721	1252.59	1255.72	8.35514	2599.6
16722	2648.85	2620	10.5487	5298.43
16723	17395.4	17347.5	118.799	35889.4
16726	24883.5	24911.1	181.183	51497.1
16727	19287.9	19247	137.771	39623.2
16728	21626.7	21606.4	136.021	44658
16729	4145.27	4121.29	31.1238	8303.64
16730	13431.7	13343.1	102.842	27595.2
16731	9385.88	9342.73	68.6306	19377
16732	12623.1	12562.7	87.3293	26059.3
16733	2617.63	2602.99	17.2659	5346.46
16734	609.248	607.793	5.96552	1183.49
16736	21744.7	21719.3	134.302	44610.2
16738	13307.9	13219.7	82.3117	27227.8
16742	4894.71	4911.82	39.9122	10170.2
16743	19159.1	19064.4	139.178	39600.7
16744	24612.6	24554.3	201.432	50697
16746	22692.9	22558.7	185.493	46910.6
16747	23252.9	23163.1	173.854	47955.3
16748	21158.2	21104.2	202.794	43802.2
16749	3037.8	3037.66	22.8313	6330.93
16750	23236.7	23122.9	256.684	48034.1
16751	4232.99	4222.46	33.3103	8774.41
16752	7329.58	7323.02	59.5776	15231.1
16753	6096.57	5988.81	57.224	12548.2
16754	22994.4	22853.2	211.298	47577.5
16755	22869.5	22715.8	207.912	47294.2
16756	4119.93	4078.81	38.6445	8533.74
16757	21711.4	21585.5	273.511	45037.4
16758	17543.1	17387.3	219.869	36336.3
16759	24659.9	24498.1	243.005	50852.2
16761	18537.4	18478.9	170.122	38401.3
16762	21534.7	21487.3	263.16	44638.1
16763	11531.6	11496.9	94.8532	23924.3
16765	17828.2	17697.8	167.116	36909.8
16766	7289.34	7251.96	90.4896	15143.1
16767	21172	21164.5	204.875	43761.9
16768	21750.4	21699.3	151.02	44759.6
16769	9995.8	9900.42	68.5427	20571.1
16770	19943.6	19801.8	148.523	41177.2
16771	24237.6	24094.9	195.762	49814.8
16772	19337.5	19160.1	196.008	39901
